Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
71	-261.8935	125.15031	-101.32954	-504.21167	-358.99945	168.40321	0.5952373	-689.8973	1000.0	1000.0	626.0	1127.1486	3720.0	0.0	1185.5	2968.4517	9990.0	0.0	710000.0	401.12625	418.07333	1239.3538	-55.936447	-404.70084	14.1882	7477.014561414719
72	-322.33295	118.469536	-171.14566	-501.33936	-336.7994	177.47913	-79.07447	-651.45404	1000.0	1000.0	693.0	1389.9788	3700.0	0.0	698.0	832.668	2380.0	0.0	720000.0	384.59677	400.27286	1187.5452	-60.09861	-388.59354	14.949182	7582.171784162521
73	-406.95044	224.60666	-58.790283	-808.8584	-896.79626	809.29156	-4.0783267	-2487.4607	1000.0	1000.0	1528.0	1722.3461	4460.0	0.0	775.5	1685.2374	6950.0	0.0	730000.0	391.1457	404.35855	1164.3501	-65.97157	-396.1014	19.075441	7687.948379516602
74	-375.63358	493.7566	1.9029762	-1740.6615	-251.11499	132.05237	1.8163708	-454.91928	1000.0	1000.0	248.0	633.1635	2120.0	0.0	1102.5	2624.9187	8860.0	0.0	740000.0	418.29562	434.83307	1384.5269	-57.42897	-424.4572	26.195515	7792.110782623291
75	-369.97528	100.67454	-223.9278	-527.62823	-380.525	213.8996	-2.5152931	-835.0259	1000.0	1000.0	0.0	0.0	0.0	0.0	631.0	1103.2765	4030.0	0.0	750000.0	490.37717	510.6961	1513.9133	-67.15446	-498.9862	35.08985	7897.140847206116
76	-253.16257	148.02907	-47.11221	-512.4976	-288.08728	108.26988	-79.98412	-491.08417	1000.0	1000.0	1080.0	1472.4402	3910.0	0.0	200.0	600.0333	2020.0	0.0	760000.0	520.97925	534.7202	1577.2153	-63.05544	-526.2176	40.927086	8001.7350533008575
77	-317.08344	128.63397	-159.97145	-505.22543	-291.16367	191.62535	-34.357067	-643.8938	1000.0	1000.0	1519.0	2027.0049	5550.0	0.0	287.0	675.9149	1970.0	0.0	770000.0	562.1978	583.0359	1813.6046	-65.707405	-571.5	61.836742	8106.496480703354
78	-228.77058	100.6907	-83.09685	-371.97253	-293.68744	162.60744	1.8134923	-564.70325	1000.0	1000.0	132.0	324.0	1080.0	0.0	2293.5	3236.004	11340.0	0.0	780000.0	653.9701	681.5623	2121.1848	-70.983406	-664.9227	62.280876	8211.150292634964
79	-364.34995	117.90649	-110.21155	-579.58704	-292.2094	190.58115	19.297579	-638.5905	1000.0	1000.0	1828.0	2014.4518	5430.0	0.0	434.5	964.40375	3750.0	0.0	790000.0	692.5736	720.8858	2285.1921	-59.00164	-700.5166	65.928734	8316.466677904129
80	-355.56244	226.25302	-0.00029913906	-740.6565	-377.20648	210.35574	-0.0004919808	-718.60297	1000.0	1000.0	0.0	0.0	0.0	0.0	470.0	1006.61316	3670.0	0.0	800000.0	827.2266	868.09906	2544.9983	-54.408077	-845.8499	86.04307	8421.706063747406
81	-293.09976	163.00089	0.5026323	-459.35284	-452.85693	121.76648	-159.98358	-656.4462	1000.0	1000.0	272.0	574.0697	1770.0	0.0	1016.0	1531.5691	4330.0	0.0	810000.0	981.1857	1013.6294	2839.021	-57.042797	-991.7586	95.24873	8526.619940042496
82	-273.95782	150.40135	-59.910797	-465.71185	-388.918	128.16005	-235.15984	-635.91455	1000.0	1000.0	980.0	1448.6062	4550.0	0.0	258.0	658.8748	2340.0	0.0	820000.0	943.3423	971.5827	2901.5405	-53.312416	-952.7914	121.82168	8632.4831366539
83	-249.45761	149.03712	5.527719e-06	-440.99963	-283.9428	187.3342	47.29021	-564.4128	1000.0	1000.0	0.0	0.0	0.0	0.0	235.5	474.43097	1860.0	0.0	830000.0	981.86774	1009.0812	2861.886	-50.176342	-996.0858	153.28876	8737.875503778458
84	-277.90204	176.05756	80.40777	-591.64453	-330.5362	187.22675	-61.972385	-643.80365	1000.0	1000.0	497.0	995.1085	2590.0	0.0	940.0	1845.9578	7060.0	0.0	840000.0	1059.4739	1089.47	3015.877	-50.320198	-1067.8376	185.32974	8842.643656015396
85	-370.306	159.26724	-160.02298	-690.48755	-261.44928	132.80229	-3.5640316	-498.3205	1000.0	1000.0	352.0	727.4861	2170.0	0.0	374.0	1141.8292	4410.0	0.0	850000.0	955.4183	981.3269	2954.8755	-55.18463	-965.7974	201.62796	8946.972357749939
86	-244.05875	185.61613	-79.52226	-576.2546	-323.27045	157.98326	-79.98702	-580.4007	1000.0	1000.0	1546.0	2138.0327	6270.0	0.0	758.5	1334.486	4540.0	0.0	860000.0	1034.6243	1038.0892	2864.0132	-45.412918	-1046.5966	140.6551	9051.787404298782
87	-317.63187	268.4108	90.54826	-718.4649	-383.7103	157.1608	0.47537118	-592.6127	1000.0	1000.0	1704.0	2256.507	7100.0	0.0	113.0	295.1796	1070.0	0.0	870000.0	908.8045	914.6459	2824.0618	-35.11218	-907.9561	114.12228	9156.323681116104
88	-388.48163	263.3861	0.7377745	-844.8206	-317.56354	174.27968	-23.772816	-669.3034	1000.0	1000.0	321.0	601.5056	1750.0	0.0	1346.0	1997.532	7040.0	0.0	880000.0	721.6044	755.5232	2647.5942	-36.982746	-728.4788	133.4499	9261.399420261383
89	-228.03508	198.80466	47.28503	-527.0533	-340.28085	193.99187	22.605375	-620.4365	1000.0	1000.0	0.0	0.0	0.0	0.0	1189.0	2067.3408	5850.0	0.0	890000.0	886.655	913.82806	2919.4468	-40.347546	-906.71	154.37885	9366.396543741226
