Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
86	-291.49185	214.41003	35.5116	-666.40625	-327.15567	261.1695	19.6802	-706.9793	1000.0	1000.0	859999	-1129635.8	131409.14	-638098.4	-2053484.2	1139716.2	26271812.0	23956.18373441696
87	-362.9046	135.21826	-93.05915	-517.5715	-373.6373	226.93835	-83.19979	-859.9415	1000.0	1000.0	869999	-1113138.0	119741.05	-656682.2	-1917903.4	1124002.9	22520336.0	24236.34882593155
88	-343.5507	169.80734	-26.425226	-618.67737	-388.81058	198.39491	-88.05512	-726.67737	1000.0	1000.0	879999	-1067459.9	129346.29	-711274.06	-1769639.2	1077138.5	20805226.0	24516.682822942734
89	-323.04553	213.01921	-1.7244614	-634.8934	-403.128	87.85328	-271.711	-555.6119	1000.0	1000.0	889999	-1025659.06	134731.67	-684960.2	-1667786.9	1035051.3	18473536.0	24797.126283168793
90	-303.39575	312.74777	127.72957	-842.2052	-194.59415	227.83504	64.78565	-660.2735	1000.0	1000.0	899999	-909839.9	139275.56	-472731.84	-1590435.6	915071.2	14866285.0	25078.936914920807
91	-363.42993	255.84512	52.44949	-842.76324	-253.70163	220.38658	66.86039	-611.7751	1000.0	1000.0	909999	-687759.44	123654.85	-282325.3	-1296901.1	690305.25	12387146.0	25360.574391126633
92	-337.15527	259.10114	126.10834	-693.4503	-391.59827	204.66248	92.1578	-561.5533	1000.0	1000.0	919999	-471849.53	101090.42	-118329.1	-1001387.75	472226.47	10995410.0	25640.69513273239
93	-283.36804	236.10983	86.22272	-573.18256	-267.09375	192.55128	65.43911	-549.336	1000.0	1000.0	929999	-298794.12	69223.234	-72032.63	-705185.06	299151.03	10362493.0	25921.076561689377
94	-331.84378	229.8005	95.34062	-703.79987	-353.3391	127.22879	-130.87582	-544.82184	1000.0	1000.0	939999	-188103.14	56042.367	-17511.479	-546921.3	188273.95	7453550.0	26201.023657798767
95	-334.2116	169.11794	-18.694115	-625.26843	-416.74594	177.83467	-2.629126	-723.0776	1000.0	1000.0	949999	-148307.58	47121.145	25007.295	-489170.9	149469.62	5717174.0	26480.662417173386
96	-155.15515	179.31906	102.69277	-366.7053	-219.39517	179.70009	62.954155	-581.3328	1000.0	1000.0	959999	-161777.97	48344.543	30712.04	-485504.88	164598.05	5081322.5	26762.067605495453
97	-327.52338	165.08487	91.9055	-493.34283	-246.46631	200.39635	94.83782	-478.1513	1000.0	1000.0	969999	-222121.03	39703.883	-14998.172	-494832.34	225383.69	4986632.0	27042.9032664299
98	-318.2201	183.44295	-69.61469	-669.5785	-248.85925	273.25656	112.249626	-785.56854	1000.0	1000.0	979999	-272077.72	35216.227	-90695.914	-515303.22	275624.44	4745813.5	27324.106205701828
99	-166.44917	198.30737	91.98713	-541.6812	-378.62897	188.55313	76.34139	-568.17944	1000.0	1000.0	989999	-278824.34	33353.008	-124163.305	-497026.7	280729.8	3969711.8	27604.3105802536
100	-279.6894	142.23293	-54.87603	-492.06833	-382.80493	225.38995	-91.53764	-805.9153	1000.0	1000.0	999999	-188895.1	40973.027	-33713.54	-429007.0	188848.64	3535856.5	27884.98375892639
